Nfrequ1,Nfrequ2,Nfrequ3,max_disp_cm,Mass_Kg,util_average
2.6,4.8,5.7,2.28,248891,0.586286
1.6,2.7,3.8,7.98,141751,0.999839
4.9,5.5,6,3.42,195112,0.534988
2.5,4.5,6.3,1.71,110815,0.37245
4.8,5.2,5.7,3.705,147703,0.501056
2.6,3,3.5,9.12,173354,0.971191
3.9,7.3,7.6,1.425,338420,0.485779
1.2,2,2.6,10.83,133140,1.31177
1.1,1.7,2.1,10.26,175237,1.474731
2.9,3.1,4.8,3.99,162368,0.618885
0.7,1.1,1.6,85.785,123137,2.250271
1.7,3.1,3.3,6.27,91216,1.133865
1.6,2.3,2.9,9.69,198905,1.372604
1.1,1.5,3.7,10.83,210577,0.737953
2.2,3.9,4.6,3.135,204939,0.832053
1.4,2.7,4.7,5.13,144295,0.647314
1.2,3,4.7,3.99,255462,0.588401
1.7,2.8,3.3,9.69,136308,1.114706
1,1.3,2.4,44.745,168706,2.663543
1.6,2.8,4.7,3.99,124791,0.65246
7.8,9.3,11.4,0.57,181628,0.230931
2.2,4,5.6,2.565,282752,0.349561
1.5,1.9,2.3,35.91,102768,3.977812
2.1,4.7,5.4,1.995,191386,0.815571
3.5,6.5,8.3,1.14,325879,0.228381
4.6,6.2,7.6,2.28,130264,0.658516
1.5,3.5,6.6,1.14,268126,0.213232
0.4,0.9,1.4,593.37,211006,11.216467
1.4,3,6.1,2.565,242433,0.333181
1.8,2.9,4.9,3.705,213714,0.740325
1.1,1.4,3.2,15.96,149277,0.902934
2.2,3.5,4,5.415,206726,1.24587
1.7,3.1,3.3,6.555,187685,0.841717
0.4,1,1.3,675.165,208171,6.58706
1,2.9,3,9.975,284339,1.259755
2.5,3.2,3.5,7.125,107437,0.925025
3.2,6.1,7.6,0.855,222095,0.462065
1.1,1.2,2.8,17.1,178873,0.945245
0.2,0.5,0.7,3489.255,160234,37.687035
3.5,4,4.7,6.555,171766,0.703021
1.6,2.5,3.2,39.045,103650,2.176163
1.4,2.7,4.5,3.135,165641,0.530324
2.5,4.7,5.8,3.42,230735,0.570373
1.1,1.5,3.5,8.835,273376,1.016144
2.1,3.3,3.4,5.985,121838,1.63423
3,5.5,7.4,1.71,212179,0.324989
1,1.3,2.4,35.625,231131,2.239937
1.9,2.8,4.8,1.425,196609,0.558308
0.4,1,1.3,660.915,152147,11.379711
3.3,6.4,6.8,2.28,276814,0.304769
1.5,2.4,3.3,6.27,96223,0.738289
1.8,3.1,3.8,6.27,186469,1.007306
1.5,2.9,5.5,3.42,232916,0.523603
1.1,2.7,4.8,4.275,199195,0.572242
5.4,8.1,9.7,0.855,182089,0.376124
4,5.4,5.8,2.85,229859,0.395566
2.1,3.4,6.9,1.425,280768,0.25486
0.7,1,1.6,247.95,339412,7.170355
0.6,1,1.5,308.085,253174,4.670071
1.2,3,6,1.995,278354,0.505144
0.5,1.4,1.8,198.075,103487,6.098063
0.5,1,1.6,406.695,217225,8.141119
2.3,3.2,5.8,2.85,264195,0.619242
2.2,3.7,4.8,7.125,124128,1.028171
1.3,2,3.4,14.535,183117,1.586544
1.4,3,6.3,2.28,331923,0.429753
2.9,5.2,6.4,1.71,148311,0.504858
1.1,2.7,4.6,4.845,230734,0.438898
3.3,3.6,4.3,7.98,163710,0.676329
0.1,0.3,0.4,12111.075,77288,86.297872
1.7,2.1,2.3,18.81,115547,2.302611
1.8,3.2,5.5,1.71,196385,0.598111
1.5,3.2,3.5,7.125,289875,0.780741
1.1,1.3,3.5,13.965,246960,0.832478
1.2,1.6,2.9,25.65,218445,1.130353
1.5,3.7,6.9,0.855,283810,0.207163
1.7,2.1,2.5,16.815,91358,1.064421
1.1,1.1,2.6,18.81,175763,0.992465
1.1,2,2.7,14.82,95992,0.830645
1.4,2.6,4.2,6.555,118108,0.73561
3,5,6.9,1.425,289076,0.460439
1.5,2.9,4.6,4.845,244356,0.409033
0.5,0.7,0.9,227.145,100635,5.911072
0.4,0.9,1.1,856.995,122040,12.835698
2.6,4,5,4.275,109505,0.847222
4.1,7.6,9,0.57,197668,0.23658
1.2,3,5.3,3.135,166631,0.52432
2,4.1,7.5,0.855,250850,0.215981
1.6,2.6,3.4,5.13,205450,0.561793
0.7,1,1.5,286.995,305613,7.524161
0.5,0.9,1.4,392.73,237396,5.395181
5.1,6.6,7.7,1.71,167740,0.459295
2.8,4.2,6,1.425,185853,0.557809
2.8,3.3,5,4.275,252581,0.568097
3.1,5.3,6.2,3.705,133365,0.590108
1.1,3,3.5,5.7,248943,1.093395
3,3.4,5.5,2.565,256559,0.669202
1.9,2.5,2.9,11.97,124009,1.154272
1.2,3.1,5.9,2.565,228172,0.427889
1,1.4,2.9,23.37,172720,1.376202
2,2.6,3.1,10.545,204167,1.164505
1.5,2.5,2.8,8.55,115846,1.083711
2.5,3.2,3.6,5.985,224149,1.264187
1.2,3,4.7,3.705,288198,0.388331
3.4,4,5.6,2.565,221251,0.384242
3.1,3.9,5.4,3.42,341369,0.661894
1.9,2.9,3.8,6.27,156567,1.092813
1.9,2.2,2.7,14.82,198919,2.064648
0.4,1,1.3,739.86,140143,12.001752
3.1,4.6,4.8,3.99,179616,0.733337
3.3,6,7.3,1.425,247774,0.514794
1.8,3,3.7,9.69,231001,0.787638
3.1,4.3,5.3,3.705,180966,0.737416
2.5,3.8,5.1,2.565,105744,0.428052
2.7,3.5,4.4,6.27,122788,1.341289
1.6,3.2,6.1,1.71,284384,0.283794
1.3,2.8,4.9,1.425,192503,0.483966
1.5,2.4,2.9,16.815,228118,1.365889
1.6,1.7,3.8,9.12,246709,0.722269
4.8,7.3,8.3,1.425,235232,0.521059
1.1,2.3,3.8,5.415,166402,1.12338
3.1,5.6,6.5,1.995,253014,0.588852
3.6,5.3,6.6,3.99,164198,0.567883
1.8,2.9,4,5.13,127879,0.52317
1.6,2.6,5,3.705,234399,0.711022
2.5,3.1,5.5,2.85,269695,0.664449
1.8,3,4.2,4.275,130062,0.769397
1.3,2.4,3.7,5.415,189362,0.961692
1.1,2.5,5.1,4.275,208877,0.741858
1.7,1.8,2.7,38.19,115543,1.578
2.5,3.1,3.7,9.975,126863,1.099376
1,1.3,2.8,20.52,133362,1.959627
1.5,2.5,4.1,6.555,169607,0.742966
1.5,2.4,2.8,29.07,167758,1.163467
1.1,2.3,4.2,6.555,130657,0.747752
1.8,2.8,3.7,6.27,189894,1.115493
1.7,2.9,3.7,6.555,226503,0.887967
1,1.2,2.4,37.05,189074,1.791666
1.7,2.6,3.7,8.55,139022,0.994045
1.2,3.3,5.3,2.565,284569,0.508343
1.3,3,5.9,2.565,206900,0.630148
0.9,1.1,2,149.34,326736,2.646784
0.8,1.1,2,62.13,101856,2.378487
1.8,3,5.4,2.85,222868,0.329522
1.8,3.5,6.3,1.14,238481,0.429966
0.3,0.6,0.8,1121.76,93839,16.726527
1.7,2.5,2.8,11.115,122560,1.351487
0.7,1.2,1.9,121.41,162066,2.654932
1.3,1.6,2.6,55.86,80627,3.420247
3.3,5.6,6.8,1.425,255078,0.412826
2.1,3.2,5,3.705,144574,0.741378
2.2,3.6,6.2,1.14,187456,0.417325
1.1,1.3,2.6,23.085,113301,1.69955
1,2.6,4.6,4.56,286042,0.756037
0.8,1,1.7,118.845,207083,5.915956
1.7,2.2,2.4,13.68,208013,1.90858
4,5,6.3,3.99,110827,0.835512
3.5,4.8,6.3,3.705,185944,0.841271
0.8,1.7,1.9,120.84,221055,4.699248
1.2,2.2,5.1,1.425,224093,0.534317
3.1,3.3,4.5,8.55,112993,0.646365
1.5,2.9,4.9,2.28,160243,0.517376
2.4,4.4,7,0.57,188789,0.247944
1.6,2.9,5.6,3.135,220857,0.673885
1.9,2.8,3.7,5.415,153141,0.629585
0.8,1.3,1.9,126.255,107399,4.111218
0.6,1.1,1.3,299.82,240211,4.409507
0.4,1,1.1,448.875,131300,6.744249
3.5,6.1,8.1,0.855,296276,0.414855
1.8,2.7,3.7,4.56,91815,1.026156
2.3,3.3,4.6,4.56,133042,0.453221
2.3,4.1,4.6,3.705,121435,0.637897
0.3,0.8,1.1,1104.66,132966,14.275205
3,5.7,6.2,2.28,242094,0.463929
1.5,2.1,2.6,9.69,170548,1.256702
1.7,2.7,4.4,2.565,144838,0.713246
6,8.4,9.1,0.855,287075,0.226232
1.7,3.1,6.4,2.28,338637,0.276262
2.7,5,5.2,3.42,240231,0.510922
1.1,1.3,1.4,75.24,124272,4.529238
1.5,2.8,3.5,8.835,108060,1.143487
1.5,1.6,3.5,15.675,181547,1.222546
1.2,1.9,2.6,8.55,88545,1.388493
1.8,2.6,3.9,7.125,151803,0.921313
1.2,2.5,4,6.555,155427,0.989716
1.5,1.9,2.2,15.96,91867,1.612339
0.9,1.1,1.5,50.16,114515,2.691114
1.3,1.8,4.1,6.27,367164,0.562276
1.9,3.5,6.5,1.71,239035,0.286023
1.5,1.6,2.5,21.66,174081,2.275906
1.4,3.1,5.4,3.135,209552,0.585097
2.4,3.2,4.6,4.275,170337,0.788969
1.2,2.9,3.3,7.695,195545,1.003497
1.1,2.3,3.2,8.55,142986,0.692377
2,3.3,6,1.425,191345,0.556084
1.5,3.3,5.8,0.855,233002,0.315117
